Date,BND,EEM,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225
2023-03-21,71.46723175048828,37.793914794921875,32560.599609375,7112.91015625,7536.2001953125,15195.33984375,4002.8701171875,19258.759765625,11860.1103515625,26945.669921875
2023-03-22,72.10185241699219,37.9427490234375,32030.109375,7131.1201171875,7566.7998046875,15216.1904296875,3936.969970703125,19591.4296875,11669.9599609375,27466.609375
2023-03-23,72.26781463623047,38.4686279296875,32105.25,7139.25,7499.60009765625,15210.3896484375,3948.719970703125,20049.640625,11787.400390625,27419.609375
2023-03-24,72.41426849365234,38.36940383911133,32237.529296875,7015.10009765625,7405.5,14957.23046875,3970.989990234375,19915.6796875,11823.9599609375,27385.25
2023-03-27,71.66251373291016,38.16103744506836,32432.080078125,7078.27001953125,7471.7998046875,15127.6796875,3977.530029296875,19567.689453125,11768.83984375,27476.869140625
2023-03-28,71.53557586669922,38.70676040649414,32394.25,7088.33984375,7484.2998046875,15142.01953125,3971.27001953125,19784.650390625,11716.080078125,27518.25
2023-03-29,71.6136703491211,38.8159065246582,32717.599609375,7186.990234375,7564.2998046875,15328.7802734375,4027.81005859375,20192.400390625,11926.240234375,27883.779296875
2023-03-30,71.71131896972656,39.20287322998047,32859.03125,7263.3701171875,7620.39990234375,15522.400390625,4050.830078125,20309.130859375,12013.4697265625,27782.9296875
2023-03-31,72.08232116699219,39.153263092041016,33274.1484375,7322.39013671875,7631.7001953125,15628.83984375,4109.31005859375,20400.109375,12221.91015625,28041.48046875
2023-04-03,72.38867950439453,39.232643127441406,33601.1484375,7345.9599609375,7673.0,15580.919921875,4124.509765625,20409.1796875,12189.4501953125,28188.150390625
2023-04-04,72.68230438232422,39.232643127441406,33402.37890625,7344.9599609375,7634.5,15603.4697265625,4100.60009765625,20274.58984375,12126.330078125,28287.419921875
2023-04-05,72.8780517578125,38.925052642822266,33482.71875,7316.2998046875,7662.89990234375,15520.169921875,4090.3798828125,20274.58984375,11996.8603515625,27813.259765625
2023-04-06,72.85847473144531,39.08380889892578,33485.2890625,7324.75,7741.60009765625,15597.8896484375,4105.02001953125,20331.19921875,12087.9599609375,27472.630859375
2023-04-10,72.36910247802734,39.123497009277344,33586.51953125,7324.75,7741.60009765625,15597.8896484375,4109.10986328125,20331.19921875,12084.3603515625,27633.66015625
2023-04-11,72.39845275878906,39.361629486083984,33684.7890625,7390.27978515625,7785.7001953125,15655.169921875,4108.93994140625,20485.240234375,12031.8798828125,27923.369140625
2023-04-12,72.47675323486328,39.08380889892578,33646.5,7396.93994140625,7824.7998046875,15703.599609375,4091.949951171875,20309.859375,11929.33984375,28082.69921875
2023-04-13,72.43761444091797,39.61960983276367,34029.69140625,7480.830078125,7843.39990234375,15729.4599609375,4146.22021484375,20344.48046875,12166.26953125,28156.970703125
2023-04-14,72.1146240234375,39.4112434387207,33886.46875,7519.60986328125,7871.89990234375,15807.5,4137.64013671875,20438.810546875,12123.4697265625,28493.470703125
2023-04-17,71.72311401367188,39.57992172241211,33987.1796875,7498.18017578125,7879.5,15789.5302734375,4151.31982421875,20782.44921875,12157.7197265625,28514.779296875
2023-04-18,71.8307876586914,39.530311584472656,33976.62890625,7533.6298828125,7909.39990234375,15882.669921875,4154.8701171875,20650.509765625,12153.41015625,28658.830078125
2023-04-19,71.73290252685547,39.133419036865234,33897.01171875,7549.43994140625,7898.7998046875,15895.2001953125,4154.52001953125,20367.759765625,12157.23046875,28606.759765625
2023-04-20,72.04609680175781,39.07388687133789,33786.62109375,7538.7099609375,7902.60009765625,15795.9697265625,4129.7900390625,20396.970703125,12059.5595703125,28657.5703125
